Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-02-18,tatasteel,1185,1205,1182.65,1190.85,199149
2022-02-17,tatasteel,1202.7,1209.55,1186.3,1190.5,344602
2022-02-16,tatasteel,1211,1218,1187,1192.05,290938
2022-02-15,tatasteel,1190,1212,1151.55,1207.55,586179
2022-02-14,tatasteel,1206,1226,1180,1185.9,650375
2022-02-11,tatasteel,1241,1265,1233.35,1254.75,391971
2022-02-10,tatasteel,1230,1254,1226,1248.25,808721
2022-02-09,tatasteel,1230,1233.3,1208.2,1222.4,303168
2022-02-08,tatasteel,1196.55,1222,1171.6,1219.55,527525
2022-02-07,tatasteel,1169.7,1214.45,1166.1,1182.9,526971
2022-02-04,tatasteel,1177.5,1197.75,1170.1,1176.15,447675
2022-02-03,tatasteel,1152,1182,1145.9,1165.65,459785
2022-02-02,tatasteel,1180.8,1182.8,1158.2,1167.5,438474
2022-02-01,tatasteel,1110,1173.9,1086.6,1167.65,701137
2022-01-31,tatasteel,1113,1114.75,1081.1,1085.45,236414
2022-01-28,tatasteel,1106.8,1126,1080.75,1084.6,471877
2022-01-27,tatasteel,1103,1103.65,1061.7,1088.75,356609
2022-01-25,tatasteel,1102.5,1120.9,1088.15,1108.7,302898
2022-01-24,tatasteel,1164.4,1164.4,1090.1,1099.15,412253
2022-01-21,tatasteel,1200.5,1204.15,1156.35,1169.05,505177
2022-01-20,tatasteel,1208.75,1223.7,1197.55,1207.5,246656
2022-01-19,tatasteel,1197,1220.6,1183.1,1208.75,487852
2022-01-18,tatasteel,1232,1232.95,1190,1194.5,321480
2022-01-17,tatasteel,1215,1244.45,1190.7,1229.7,445130
2022-01-14,tatasteel,1214,1226,1206.1,1213.35,321735
2022-01-13,tatasteel,1152,1225,1152,1220.6,1283836
2022-01-12,tatasteel,1141.8,1150.95,1132.7,1147.2,209174
2022-01-11,tatasteel,1157,1163.5,1112.85,1130.15,355413
2022-01-10,tatasteel,1167,1173.1,1154.15,1168.95,188280
2022-01-07,tatasteel,1162,1174.2,1147.8,1160.2,293749
2022-01-06,tatasteel,1175.75,1182.2,1155.7,1163.4,212356
2022-01-05,tatasteel,1145,1180.5,1140.8,1177.25,455029
2022-01-04,tatasteel,1153.15,1159.6,1136.35,1148.95,385974
2022-01-03,tatasteel,1111.5,1150,1111.5,1143.15,326994
